old iri,new iri
http://www.ontologyrepository.com/CommonCoreOntologies/MultiSecondTemporalIntervalIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000076
http://www.ontologyrepository.com/CommonCoreOntologies/TemporalReferenceSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000077
http://www.ontologyrepository.com/CommonCoreOntologies/NautralLanguage,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000078
http://www.ontologyrepository.com/CommonCoreOntologies/MonthIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000079
http://www.ontologyrepository.com/CommonCoreOntologies/MilitaryTimeZoneIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000080
http://www.ontologyrepository.com/CommonCoreOntologies/ReferenceSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000081
http://www.ontologyrepository.com/CommonCoreOntologies/TemporalRegionIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000082
http://www.ontologyrepository.com/CommonCoreOntologies/CodeIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000083
http://www.ontologyrepository.com/CommonCoreOntologies/Initialism,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000084
http://www.ontologyrepository.com/CommonCoreOntologies/IntervalMeasurementInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000085
http://www.ontologyrepository.com/CommonCoreOntologies/RepresentationalInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000086
http://www.ontologyrepository.com/CommonCoreOntologies/ClockTimeSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000087
http://www.ontologyrepository.com/CommonCoreOntologies/Nickname,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000088
http://www.ontologyrepository.com/CommonCoreOntologies/MultiYearTemporalIntervalIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000089
http://www.ontologyrepository.com/CommonCoreOntologies/CalendarDateIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000090
http://www.ontologyrepository.com/CommonCoreOntologies/ArtificialLanguage,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000091
http://www.ontologyrepository.com/CommonCoreOntologies/StandardTimeOfDayIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000092
http://www.ontologyrepository.com/CommonCoreOntologies/MultiWeekTemporalIntervalIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000093
http://www.ontologyrepository.com/CommonCoreOntologies/VeracityMeasurementInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000094
http://www.ontologyrepository.com/CommonCoreOntologies/MaximumOrdinalMeasurementInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000095
http://www.ontologyrepository.com/CommonCoreOntologies/PerformanceSpecification,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000096
