old-iri,new-iri
http://www.ontologyrepository.com/CommonCoreOntologies/SeatOfNationalGovernment,https://www.commoncoreontologies.org/ont00000094
http://www.ontologyrepository.com/CommonCoreOntologies/ControlSurface,https://www.commoncoreontologies.org/ont00000095
http://www.ontologyrepository.com/CommonCoreOntologies/PropulsionSystem,https://www.commoncoreontologies.org/ont00000096
http://www.ontologyrepository.com/CommonCoreOntologies/ComplexOpticalLens,https://www.commoncoreontologies.org/ont00000097
http://www.ontologyrepository.com/CommonCoreOntologies/ElectricalArtifactFunction,https://www.commoncoreontologies.org/ont00000098
http://www.ontologyrepository.com/CommonCoreOntologies/WaveProcess,https://www.commoncoreontologies.org/ont00000099
http://www.ontologyrepository.com/CommonCoreOntologies/StasisOfPartiallyMissionCapable,https://www.commoncoreontologies.org/ont00000100
http://www.ontologyrepository.com/CommonCoreOntologies/PortionOfLiquidOxygen,https://www.commoncoreontologies.org/ont00000101
http://www.ontologyrepository.com/CommonCoreOntologies/SkinType,https://www.commoncoreontologies.org/ont00000102
http://www.ontologyrepository.com/CommonCoreOntologies/VehicleCompartment,https://www.commoncoreontologies.org/ont00000103
http://www.ontologyrepository.com/CommonCoreOntologies/UnderwaterMine,https://www.commoncoreontologies.org/ont00000104
http://www.ontologyrepository.com/CommonCoreOntologies/Square,https://www.commoncoreontologies.org/ont00000105
http://www.ontologyrepository.com/CommonCoreOntologies/EndOfLifeStasis,https://www.commoncoreontologies.org/ont00000106
http://www.ontologyrepository.com/CommonCoreOntologies/IncreaseOfGenericallyDependentContinuant,https://www.commoncoreontologies.org/ont00000107
http://www.ontologyrepository.com/CommonCoreOntologies/RailFacility,https://www.commoncoreontologies.org/ont00000108
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfMilitaryForce,https://www.commoncoreontologies.org/ont00000109
http://www.ontologyrepository.com/CommonCoreOntologies/MechanicalProcess,https://www.commoncoreontologies.org/ont00000110
http://www.ontologyrepository.com/CommonCoreOntologies/AirInlet,https://www.commoncoreontologies.org/ont00000111
http://www.ontologyrepository.com/CommonCoreOntologies/Translucent,https://www.commoncoreontologies.org/ont00000112
http://www.ontologyrepository.com/CommonCoreOntologies/VentilationControlArtifactFunction,https://www.commoncoreontologies.org/ont00000113
http://www.ontologyrepository.com/CommonCoreOntologies/UnixTemporalInstant,https://www.commoncoreontologies.org/ont00000114
http://www.ontologyrepository.com/CommonCoreOntologies/StasisOfDisposition,https://www.commoncoreontologies.org/ont00000115
http://www.ontologyrepository.com/CommonCoreOntologies/Pump,https://www.commoncoreontologies.org/ont00000116
http://www.ontologyrepository.com/CommonCoreOntologies/InformationProcessingArtifact,https://www.commoncoreontologies.org/ont00000117
http://www.ontologyrepository.com/CommonCoreOntologies/ArtifactFunctionSpecification,https://www.commoncoreontologies.org/ont00000118
http://www.ontologyrepository.com/CommonCoreOntologies/SpatialOrientation,https://www.commoncoreontologies.org/ont00000119
http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnit,https://www.commoncoreontologies.org/ont00000120
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfConductingMassMediaInterview,https://www.commoncoreontologies.org/ont00000121
http://www.ontologyrepository.com/CommonCoreOntologies/VehicleTrackPoint,https://www.commoncoreontologies.org/ont00000122
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfExpressiveCommunication,https://www.commoncoreontologies.org/ont00000123
http://www.ontologyrepository.com/CommonCoreOntologies/SolarTimeReferenceSystem,https://www.commoncoreontologies.org/ont00000124
http://www.ontologyrepository.com/CommonCoreOntologies/BoundingBoxPoint,https://www.commoncoreontologies.org/ont00000125
http://www.ontologyrepository.com/CommonCoreOntologies/FirstOrderAdministrativeRegion,https://www.commoncoreontologies.org/ont00000126
http://www.ontologyrepository.com/CommonCoreOntologies/PerformanceSpecification,https://www.commoncoreontologies.org/ont00000127
http://www.ontologyrepository.com/CommonCoreOntologies/PortionOfLiquidHydrogen,https://www.commoncoreontologies.org/ont00000128
http://www.ontologyrepository.com/CommonCoreOntologies/Tattoo,https://www.commoncoreontologies.org/ont00000129
http://www.ontologyrepository.com/CommonCoreOntologies/PowerTransformer,https://www.commoncoreontologies.org/ont00000130
http://www.ontologyrepository.com/CommonCoreOntologies/IncreaseOfQuality,https://www.commoncoreontologies.org/ont00000131
http://www.ontologyrepository.com/CommonCoreOntologies/RecordingDevice,https://www.commoncoreontologies.org/ont00000132
