Kind,Label,CCO IRI,QUDT IRI
Individual,Slug Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SlugPerSecondMeasurementUnit,
Individual,Sone Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SoneMeasurementUnit,
Individual,Square Centimeter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SquareCentimeterMeasurementUnit,
Individual,Square Decimeter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SquareDecimeterMeasurementUnit,
Individual,Square Foot Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SquareFootMeasurementUnit,
Individual,Square Inch Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SquareInchMeasurementUnit,
Individual,Square Kilometer Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SquareKilometerMeasurementUnit,
Individual,Square Meter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SquareMeterMeasurementUnit,
Individual,Square Mile Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SquareMileMeasurementUnit,
Individual,Square Millimeter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SquareMillimeterMeasurementUnit,
Individual,Square Yard Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SquareYardMeasurementUnit,
Individual,Standard Cubic Centimeter Per Minute Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/StandardCubicCentimeterPerMinuteMeasurementUnit,
Individual,Tablespoon Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/TablespoonMeasurementUnit,
Individual,Teaspoon Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/TeaspoonMeasurementUnit,
Individual,Terahertz Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/TerahertzMeasurementUnit,
Individual,Turn Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/TurnMeasurementUnit,
Individual,Twenty Foot Equivalent Unit,http://www.ontologyrepository.com/CommonCoreOntologies/TwentyFootEquivalentUnit,
Individual,Volt Ampere Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/VoltAmpereMeasurementUnit,
Individual,Volt Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/VoltMeasurementUnit,
Individual,Watt Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/WattMeasurementUnit,
Individual,Week Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/WeekMeasurementUnit,
Individual,Yard Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/YardMeasurementUnit,
Individual,Year Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/YearMeasurementUnit,
Class,Geospatial Region Bounding Box Identifier List,http://www.ontologyrepository.com/CommonCoreOntologies/GeospatialRegionBoundingBoxIdentifierList,
Class,Measurement Unit of Acceleration,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfAcceleration,
Class,Measurement Unit of Amount of Substance,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfAmountOfSubstance,
Class,Measurement Unit of Angle,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfAngle,
Class,Measurement Unit of Area,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfArea,
